Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
13 Specialist managers,1392 Senior non-commissioned defence force member,139211 Air force senior non-commissioned officer,Male,5349,98655,93046,95886,94984,102391,96710
13 Specialist managers,1392 Senior non-commissioned defence force member,139211 Air force senior non-commissioned officer,Total,6081,97053,91887,94592,94121,100742,95529
13 Specialist managers,1399 Other specialist manager,139911 Administrator - arts,Female,2938,56682,52204,53625,51476,59183,54349
13 Specialist managers,1399 Other specialist manager,139911 Administrator - arts,Male,963,71634,62716,66715,63624,82819,67154
13 Specialist managers,1399 Other specialist manager,139911 Administrator - arts,Total,3901,60373,54820,56843,54394,65019,57398
13 Specialist managers,1399 Other specialist manager,139912 Environmental manager,Female,1290,87823,79230,85958,79231,90757,82379
13 Specialist managers,1399 Other specialist manager,139912 Environmental manager,Male,2908,107413,96079,105482,96127,110835,98583
13 Specialist managers,1399 Other specialist manager,139912 Environmental manager,Total,4198,101393,90551,99481,91218,104664,93525
13 Specialist managers,1399 Other specialist manager,139913 Laboratory manager,Female,1839,66383,61859,63536,61595,68370,63740
13 Specialist managers,1399 Other specialist manager,139913 Laboratory manager,Male,1843,88864,84368,86778,84067,91384,86304
13 Specialist managers,1399 Other specialist manager,139913 Laboratory manager,Total,3682,77636,73913,75144,74077,79886,76280
13 Specialist managers,1399 Other specialist manager,139914 Manager - quality assurance,Female,5549,72231,63778,70182,64516,74616,66073
13 Specialist managers,1399 Other specialist manager,139914 Manager - quality assurance,Male,6287,92724,81859,90338,82333,95888,84730
13 Specialist managers,1399 Other specialist manager,139914 Manager - quality assurance,Total,11836,83116,73052,80881,73904,85916,75579
13 Specialist managers,1399 Other specialist manager,139915 Administrator - sports,Female,1913,53412,46120,46565,46313,55636,48713
13 Specialist managers,1399 Other specialist manager,139915 Administrator - sports,Male,2230,61988,57104,59848,57077,65259,60302
13 Specialist managers,1399 Other specialist manager,139915 Administrator - sports,Total,4143,58028,51238,53714,51206,60816,54032
13 Specialist managers,1399 Other specialist manager,139999 Ambassador,Female,717,49587,42144,48893,44203,51744,44717
13 Specialist managers,1399 Other specialist manager,139999 Ambassador,Male,1930,72766,69117,72937,71312,76712,72738
13 Specialist managers,1399 Other specialist manager,139999 Ambassador,Total,2647,66487,64443,66432,67252,69960,69061
"14 Hospitality, retail and service managers",1411 Café or restaurant manager,141111 Cafe manager,Female,30175,41117,38570,38364,37815,42861,40342
