Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
82 Construction and mining labourers,8200 Labourer - type not specified,820000 Labourer - type not specified,Total,1017,26386,18381,23998,15794,27028,18971
82 Construction and mining labourers,8210 Construction and mining labourers,821000 Construction worker - type not specified,Female,4,13845,13539,14028,13704,14028,13704
82 Construction and mining labourers,8210 Construction and mining labourers,821000 Construction worker - type not specified,Male,109,33588,28101,35093,28101,36586,29515
82 Construction and mining labourers,8210 Construction and mining labourers,821000 Construction worker - type not specified,Total,113,32889,24600,34334,24999,35781,28254
82 Construction and mining labourers,8211 Building or plumbing labourer,821111 Bricklayer's labourer,Female,1263,35717,27016,32885,23269,37725,29285
82 Construction and mining labourers,8211 Building or plumbing labourer,821111 Bricklayer's labourer,Male,55284,47859,40377,45260,39023,51237,43213
82 Construction and mining labourers,8211 Building or plumbing labourer,821111 Bricklayer's labourer,Total,56547,47588,40055,44988,38586,50936,42854
82 Construction and mining labourers,8211 Building or plumbing labourer,"821112 Construction worker - drainage, sewerage and stormwater labourer",Female,51,40607,35291,39069,36903,42336,37828
82 Construction and mining labourers,8211 Building or plumbing labourer,"821112 Construction worker - drainage, sewerage and stormwater labourer",Male,4168,60056,59566,59740,61149,63439,62849
82 Construction and mining labourers,8211 Building or plumbing labourer,"821112 Construction worker - drainage, sewerage and stormwater labourer",Total,4219,59821,59266,59498,60995,63184,62575
82 Construction and mining labourers,8211 Building or plumbing labourer,821113 Construction worker - digging,Female,333,40213,34332,37177,30528,42048,35660
82 Construction and mining labourers,8211 Building or plumbing labourer,821113 Construction worker - digging,Male,11049,57624,54824,55869,55409,60777,57798
82 Construction and mining labourers,8211 Building or plumbing labourer,821113 Construction worker - digging,Total,11382,57115,54364,55327,54976,60229,57306
82 Construction and mining labourers,8211 Building or plumbing labourer,821114 Construction worker - plumber's assistant,Female,51,33867,27275,26941,22104,34886,27533
82 Construction and mining labourers,8211 Building or plumbing labourer,821114 Construction worker - plumber's assistant,Male,1548,39911,36965,38238,36258,42625,39963
82 Construction and mining labourers,8211 Building or plumbing labourer,821114 Construction worker - plumber's assistant,Total,1599,39718,36799,37895,35566,42378,39773
82 Construction and mining labourers,8212 Concreter,821211 Concrete worker,Female,96,45381,38856,37894,30589,47784,40721
82 Construction and mining labourers,8212 Concreter,821211 Concrete worker,Male,21133,62016,56792,59353,57130,66814,61225
82 Construction and mining labourers,8212 Concreter,821211 Concrete worker,Total,21229,61940,56715,59259,56990,66728,61155
82 Construction and mining labourers,8213 Fencer,821311 Construction worker - fencer,Female,85,26119,20400,23849,19750,27005,21000
82 Construction and mining labourers,8213 Fencer,821311 Construction worker - fencer,Male,3914,42594,39263,39244,38084,45172,41694
82 Construction and mining labourers,8213 Fencer,821311 Construction worker - fencer,Total,3999,42244,38882,38922,37671,44785,41195
82 Construction and mining labourers,8214 Insulation or home improvement installer,821400 Installer - type not specified,Male,8,39445,39130,46825,40961,42599,40382
82 Construction and mining labourers,8214 Insulation or home improvement installer,821400 Installer - type not specified,Total,8,39445,39130,46825,40961,42599,40382
82 Construction and mining labourers,8214 Insulation or home improvement installer,821411 Building insulation installer,Female,40,42284,38391,38584,34621,43853,38667
82 Construction and mining labourers,8214 Insulation or home improvement installer,821411 Building insulation installer,Male,2638,66960,51586,62003,52000,70479,55429
82 Construction and mining labourers,8214 Insulation or home improvement installer,821411 Building insulation installer,Total,2678,66591,51238,61648,51501,70081,54979
82 Construction and mining labourers,8214 Insulation or home improvement installer,821412 Curtain installer,Female,106,38816,36555,33391,31681,40747,37523
82 Construction and mining labourers,8214 Insulation or home improvement installer,821412 Curtain installer,Male,3713,52156,49440,49001,49400,54963,52455
82 Construction and mining labourers,8214 Insulation or home improvement installer,821412 Curtain installer,Total,3819,51786,49167,48579,49061,54568,52000
82 Construction and mining labourers,8215 Paving and surfacing labourer,821511 Construction worker - paving and surfacing labourer,Female,231,47770,45521,45975,45497,50072,48425
82 Construction and mining labourers,8215 Paving and surfacing labourer,821511 Construction worker - paving and surfacing labourer,Male,12731,62409,60438,62021,61837,65553,63211
82 Construction and mining labourers,8215 Paving and surfacing labourer,821511 Construction worker - paving and surfacing labourer,Total,12962,62148,60307,61733,61644,65277,63009
82 Construction and mining labourers,8216 Railway track worker,821611 Construction worker - railway track,Female,153,71807,70078,73832,74610,77196,75127
82 Construction and mining labourers,8216 Railway track worker,821611 Construction worker - railway track,Male,4772,85424,85173,86524,87701,91055,90506
82 Construction and mining labourers,8216 Railway track worker,821611 Construction worker - railway track,Total,4925,85001,84624,86128,87155,90624,89977
82 Construction and mining labourers,8217 Structural steel construction worker,821711 Construction worker - construction rigger,Female,124,73804,58574,72803,63566,78277,63606
82 Construction and mining labourers,8217 Structural steel construction worker,821711 Construction worker - construction rigger,Male,13159,96070,87732,94496,89347,102431,94302
82 Construction and mining labourers,8217 Structural steel construction worker,821711 Construction worker - construction rigger,Total,13283,95862,87510,94292,89140,102206,94102
82 Construction and mining labourers,8217 Structural steel construction worker,821712 Construction worker - scaffolder,Female,66,59921,38946,56574,40767,62928,41012
82 Construction and mining labourers,8217 Structural steel construction worker,821712 Construction worker - scaffolder,Male,13629,80742,67133,78521,67901,86247,73129
82 Construction and mining labourers,8217 Structural steel construction worker,821712 Construction worker - scaffolder,Total,13695,80642,67027,78414,67803,86135,72980
82 Construction and mining labourers,8217 Structural steel construction worker,821713 Construction worker - steel fixer,Female,27,42943,33719,37877,29775,45575,36244
82 Construction and mining labourers,8217 Structural steel construction worker,821713 Construction worker - steel fixer,Male,6382,64437,60725,62977,61397,70116,66197
82 Construction and mining labourers,8217 Structural steel construction worker,821713 Construction worker - steel fixer,Total,6409,64347,60656,62871,61191,70013,66058
82 Construction and mining labourers,8217 Structural steel construction worker,821714 Construction worker - structural steel erector,Female,9,35656,37892,33938,38460,36330,38460
82 Construction and mining labourers,8217 Structural steel construction worker,821714 Construction worker - structural steel erector,Male,1298,60264,53779,58338,54434,64526,57724
82 Construction and mining labourers,8217 Structural steel construction worker,821714 Construction worker - structural steel erector,Total,1307,60094,53528,58168,54276,64332,57535
82 Construction and mining labourers,8219 Other construction or mining labourer,821911 Crane chaser,Total,390,80123,75677,77846,74106,86276,81627
82 Construction and mining labourers,8219 Other construction or mining labourer,821912 Driller's assistant,Female,69,82730,76004,82064,75673,85506,82717
82 Construction and mining labourers,8219 Other construction or mining labourer,821912 Driller's assistant,Male,3824,91212,78998,91449,81791,94754,83118
82 Construction and mining labourers,8219 Other construction or mining labourer,821912 Driller's assistant,Total,3893,91061,78996,91281,81764,94589,83118
82 Construction and mining labourers,8219 Other construction or mining labourer,821913 Labourer - lagger,Female,16,60797,51707,44638,34379,61943,51857
82 Construction and mining labourers,8219 Other construction or mining labourer,821913 Labourer - lagger,Male,579,91108,74952,81109,72285,95177,81380
82 Construction and mining labourers,8219 Other construction or mining labourer,821913 Labourer - lagger,Total,595,90293,74684,80121,71662,94283,80522
82 Construction and mining labourers,8219 Other construction or mining labourer,821914 Labourer - mining,Female,812,67935,64344,68846,65159,70081,66630
82 Construction and mining labourers,8219 Other construction or mining labourer,821914 Labourer - mining,Male,7568,90201,88547,89968,90921,93065,91789
82 Construction and mining labourers,8219 Other construction or mining labourer,821914 Labourer - mining,Total,8380,88043,86718,87918,88664,90840,89790
82 Construction and mining labourers,8219 Other construction or mining labourer,821915 Construction worker - surveyor's assistant,Female,221,35079,30361,32287,27592,36561,31162
82 Construction and mining labourers,8219 Other construction or mining labourer,821915 Construction worker - surveyor's assistant,Male,1728,44943,42421,42753,41437,46797,43896
82 Construction and mining labourers,8219 Other construction or mining labourer,821915 Construction worker - surveyor's assistant,Total,1949,43825,40757,41564,40429,45636,42909
83 Factory process workers,8300 Factory or process worker - type not specified,830000 Factory worker - type not specified,Female,438,31207,30438,31197,30478,32962,31466
83 Factory process workers,8300 Factory or process worker - type not specified,830000 Factory worker - type not specified,Male,558,36218,36356,34503,36066,37453,38437
83 Factory process workers,8300 Factory or process worker - type not specified,830000 Factory worker - type not specified,Total,996,34014,34050,33059,34263,35480,36460
83 Factory process workers,8310 Meatworker - type not specified,831000 Meatworker - type not specified,Female,25,21773,17609,21395,17163,22591,18019
83 Factory process workers,8310 Meatworker - type not specified,831000 Meatworker - type not specified,Male,52,34254,32239,34980,30604,35576,32455
83 Factory process workers,8310 Meatworker - type not specified,831000 Meatworker - type not specified,Total,77,30202,23113,30569,23523,31360,23523
83 Factory process workers,8311 Food or drink factory worker,831111 Baking factory worker,Female,1957,37029,36709,35517,36293,37920,37568
83 Factory process workers,8311 Food or drink factory worker,831111 Baking factory worker,Male,2100,42632,41477,41883,41533,43789,42863
83 Factory process workers,8311 Food or drink factory worker,831111 Baking factory worker,Total,4057,39929,38698,38811,38513,40958,39766
83 Factory process workers,8311 Food or drink factory worker,831112 Brewery worker,Female,181,47468,40088,46667,41650,48912,42367
83 Factory process workers,8311 Food or drink factory worker,831112 Brewery worker,Male,1299,72323,66221,70638,65857,74404,68804
83 Factory process workers,8311 Food or drink factory worker,831112 Brewery worker,Total,1480,69283,62402,67717,62191,71286,64781
83 Factory process workers,8311 Food or drink factory worker,831113 Confectioner,Female,882,47914,43846,46200,43287,49029,45058
83 Factory process workers,8311 Food or drink factory worker,831113 Confectioner,Male,1018,62890,65985,61786,66011,64492,67412
83 Factory process workers,8311 Food or drink factory worker,831113 Confectioner,Total,1900,55938,55793,54570,55457,57310,57307
83 Factory process workers,8311 Food or drink factory worker,831114 Cheesemaker,Female,1451,44388,42126,43285,41777,45531,43340
83 Factory process workers,8311 Food or drink factory worker,831114 Cheesemaker,Male,3264,61454,60232,61093,60735,62989,61544
83 Factory process workers,8311 Food or drink factory worker,831114 Cheesemaker,Total,4715,56202,53704,55612,54265,57619,55125
83 Factory process workers,8311 Food or drink factory worker,831115 Factory worker - fruit and vegetable factory,Female,2220,30598,28822,28375,26250,31379,29590
83 Factory process workers,8311 Food or drink factory worker,831115 Factory worker - fruit and vegetable factory,Male,2387,38869,36327,36741,35920,40044,37831
